"index","工作內容"
1,"1. 兼職可，擁有社群小編或文案企劃相關經驗優先錄用。 
2. 執行主管交辦事項與行政事務，具文書軟體操作能力。
3. 對數位行銷有熱情，需具備資料蒐集、整理及文案快速生產能力。 
4. 任職期間通過內部評核可轉正職，將依公司敘薪制度享正職薪酬獎勵。
5. 每週須至少4天可排班，每日4～6小時，時段可面談。"
2,"[需可上班時間] 
1.上班期間為: 錄取後1週內   
2. 上班期間：可長期在家接案 

[工作主要內容]
(1) 協助將中文網站內容翻譯上日文跨境電商網站(例如日本AMAZON)
(2) 協助整理跨境電商日文平台商品/上下架/調整庫存
(3) 協助公司管理回覆日文客服 支援處理翻譯日文訂單讓訂單順利出貨
(4) 協助公司系統日文商品資料建立/資料處理
(5) 主管交辦事務

[徵才條件]
(1) 我們需要做事 細心謹慎、認真仔細有耐心的人、具有責任感、抗壓性高、不怕辛苦可耐勞者
(2) 做事有效率迅速、反應快、積極主動、工作投入

※ 請附上中日文履歷表與中日文自傳 及日文檢定掃描檔
※ 長期合作時間無法配合者請勿應徵。不接受短期應徵。
"
3,"兼職線上客服小編。
處理行政事務。
在家上班，打字要快。 5分鐘達200字才夠快。
需有親切禮貌，能跟家長有禮貌的互動。

備註：
在家上班須在線上班隨時待命回答家長問題，工作內容並不輕鬆喔！
能接受再應徵此工作。謝謝您"
4,"TOEIC:750分以上(近二年成績)
對外銷業務有興趣,公司可以長期培訓 聽/說/讀/寫(商用英文書信)能力,
表現良好可以轉任外銷正職人職

"
5,"【工作內容】

＊FB、IG經營
＊圖片設計
＊文案撰寫
＊部落格文章撰寫

【期望你/妳】

＊喜歡關注潮流時話題
＊對文字及美感具敏銳度
＊自動自發
＊細心
＊善與他人溝通
＊一週至少排兩個全天班（8小時x2）

【加分條件】

＊會使用Adobe Photoshop 和Adobe Illustrator
＊多益分數850分以上

【薪資待遇】一小時160

【休閒福利】

＊每月一次康樂活動
＊公司備有筆電
＊可免費使用Engoo一個月8堂一般方案

【備註】本職缺須先完成測試作業，合適者方能進入面試階段。"
6,"我們想要延聘一位擅長文書處理編輯的兼職人員，最好能夠協助潤飾中文。若合作愉快，可轉正職。時薪200-300元，可議，每年如果在新台幣18萬元內，將以稿費支付，免所得稅。

注意：請另外寄一份您的履歷檔案給我們（最好 Word 和 pdf 檔案一式兩份），和您編輯過或自己寫的文字給我們（Email: allenli.ati@gmail.com）。如果合適，我們將聯絡您面談。
"
7,"如果你喜歡各種3C產品
如果你沒事就愛泡論壇看YouTube
如果你喜歡寫點東西
恭喜！
這份工作非常 適！合！你！

這裡可以【免費】玩各款耳機喇叭等各種3C產品；
這裡上班就要你光明正大地【泡論壇】【看3C國內外Youtuber開箱】；
這裡需要將各款3C產品體驗用你風格化的文字和圖片進行表達合傳遞！

工作職責會包含：
1. 獨立撰寫國際最新3C新聞及產品開箱文
2. 協助轉載合作KOL發布內容
3. 協助拍攝產品圖、會修圖

*請關注！
如投遞本崗位履歷，請附上個人相關作品鏈接，與3C有關聯性優先，謝謝！


【徵求條件】
1.文筆流暢，傳媒相關科系佳
2.具備基本圖表設計、攝影排版概念、時間掌控能力
3.平時熱愛關注3C新聞、科技趨勢
4.自我要求高、細心負責任

【加分條件】
1.曾寫過3C相關開箱文
2.有構圖美感，可以獨立完成文章配圖拍攝及修圖
3.會使用修圖軟體Lightroom佳



※ 工薪及獎金
—— 在智選家，你的薪資不止是底薪，我們提供更有競爭力的薪資
· 12個月的固定薪資
· 績效獎金
· 年終獎金
· 職級P5 (含)以上有股權激勵
（實習無績效獎金及年終獎金）


※ 福利措施
—— 在智選家，除了有年輕活力的工作環境，更有貼心的福利關懷
· 勞保、健保
· 員工內購福利
· 三節（春節、端午、中秋）禮品
· 生日禮品；不定期團隊建設活動、員工聚餐
· 每週零食/水果/飲料供應
· 員工健康檢查1次/年
· 公司擔負員工團險，工作有保障


※ 個人成長及培訓
—— 在智選家，你的個人成長我們比誰都重視
· 通識能力項的內部培訓
· 專業能力項的外部培訓
· 內部分享與學習


——


【其他備註】
請關注！如投遞本崗位履歷，請附上個人相關作品，與3C有關聯性優先！
如果無相關作品，還請在“自我推薦欄位中說明個人優勢”，方便履歷篩選上給予更多機會，謝謝！

更多相關資訊請參考官網：https://www.witsper.com/"
8,"一、整理每日其他媒體發布重點房地產訊息並改寫
二、網羅網路論壇、臉書及網路相關房地產訊息、討論，並撰寫成新聞
三、文筆佳，善於溝通，個性活潑、負責
四、具備初步影音編輯、圖文概念
五、不排斥房地產、財經類新聞
"
9,"修改學生作文
1‧語氣不明的句子，要修改到語意清楚。
2‧雜亂無章的句子，要修改到條理分明。
3‧平板無味的句子，要修改到描述生動。
4‧說明觀點材料不足的句子，要修改到陳述正確，材料充實。
5‧通俗不雅的語句用詞，要修改到優美可讀。
6‧文法使用錯誤，要修改到正確無誤。
7‧過於單調無意義的句子，要刪去。
8‧模糊不清的語意，要修改到意思明確。
9‧引述不夠正確的地方，要指出錯誤並加以改正。
10‧語意前後不一或段落不清楚的地方，要修正到前後通順連貫。
11.錯字部分要挑出"
10,"【注意】本職缺適合者會用E-mail通知面試
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】

工作說明如下

一、一對一教學。

二、排班時間彈性

三、依照學校教材教學，超前進度或者落後部分加強(補習班提供全套教材)

四、不能做到1年以上者請勿應徵,不好意思,謝謝

五、公司可排班時間如下(一~日都營業)

【一 ~ 五 下午3:30~晚上10:00】
【六 早上9:00~晚上6:00】
【日 早上9:00~下午4:30】"
11,"【注意】本職缺適合者會用E-mail通知面試
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】
【請求職者務必到104履歷信箱收信】

工作說明如下

一、一對一教學。

二、排班時間彈性

三、依照學校教材教學，超前進度或者落後部分加強(補習班提供全套教材)

四、不能做到1年以上者請勿應徵,不好意思,謝謝

五、公司可排班時間如下(一~日都營業)

【一 ~ 五 下午3:30~晚上10:00】
【六 早上9:00~晚上6:00】
【日 早上9:00~下午4:30】"
12,"負責工作: 

- 為以下其中一種語言進行翻譯字幕檔以及文件的工作
    - 英文到中文
    - 德文到中文
    - 越南文到中文
    - 韓文到中文
    - 泰文到中文
    - 日文到中文


- 影片的主要內容包括
    - 教材
    - 新聞影片
    - 網上教學影片


要求:
- 優秀的語言能力
- 具有字幕檔翻譯經驗
- 上班時間具彈性 (能夠在公眾假期工作更佳) 
- 擁有教學經驗更佳"
13,"1,進行書籍的圖文編輯
2,進行漫畫的圖文編輯"
14,"我們公司主要協助企業撰寫政府補助企劃，助理工作是協助文案撰寫與示意圖製作（類似雜誌，做為補充說明）
文案撰寫會較多，文案撰寫與美編比例為７：３
工作內容多元豐富，適合喜歡學習，觀察能力好的人，未來的職涯會不錯的發展性。

主要工作內容為協助同事(專案經理)進行
1.文案撰寫
2.示意圖製作
3.資料蒐集與整理"
15,"教學解題
升學咨詢 
講義編輯"
16,"1：有韓文翻譯簡體中文相關經驗。
2：熟悉大陸地區本地用語。
3：擁有翻譯游戲或漫畫的相關經驗。
4：大陸地區譯者優先。"
17,"你是一個熱愛生活熱愛分享，並且總是能用幽默風趣或不同角度觀點的文字，讓所有一切經歷變得魅力無限嗎?我們需要您這樣與生俱來的玩字高手!

如果您是:
1. 除了文字具創造力能讓人感同身受、身歷其境以外，還能以文字為媒介清楚傳達訊息或方向目標
2. 喜歡使用各種社群媒體，不管是論壇、社團、粉絲團、部落格，到處都有您的蹤跡
3. 除了文字，若能有圖片、影片產出能力更大大加分
4. 如果您有豐富的興趣經驗在遊戲、寵物、老饕、汽車、金融投資、戶外旅遊、美妝時尚、醫美保養、居家生活、3C達人、運動健身或是有小朋友、毛小孩的媽咪拔拔們，並且樂於以圖片、文字、影片分享您所有的經驗給大家，請您不要猶豫，趕緊聯繫我們!

需求能力：
1. 針對專案內容指定之不同主題及方向，進行議題設定、文章撰寫、(圖片設計執行或影片設計執行)
2. 對文字充滿熱忱及高敏銳度
3. 文稿寫作流暢，組織邏輯強
4. 議題掌握能力強
5. 樂觀主動積極負責任
6. 自律性高、時間掌控力及觀念強
7. 如曾在各大社團、論壇、部落格已有發文經驗更大大加分


**面試時請攜帶雜誌或書籍之其他相關文案類代表性作品，如果你是新鮮人，請攜帶你覺得可以代表你相對應能力的相關資料給我們參考。

**兼職外包工作性質，無須進公司，若能有獨立經營粉絲團能力，請特別告知**
"
18,"1. 協助技術文件撰寫人員，包含實際技術文件排版美編，以及技術文件英文翻譯
2. 協助主管交辦事項

**此為暑期工讀職缺，期間結束後會頒發實習證明"
19,"1.協助編輯整編部落客、外稿、新聞稿 
2.協助編輯整理每日《食尚玩家》電視節目報導之店家資訊
3.協助編輯台日常編務"
20,"1.現場錄影節目執行
2.新媒體節目影音內容剪輯
3.需排週一至週五白天班"
21,"負責三立新聞網網頁新聞內容更新及維護，畢業後視工作狀況及績效，可轉任正職！"
22,"VoiceTube Vclass - 匯集語言教育各領域菁英、名人、老師的「線上募資課程平台」，是台灣第一個專門為「語言學習」所打造的募資網站：https://vclass.voicetube.com/

【工作內容】
1. 協助募資推廣專案，包含腳本撰寫、廣告文案撰寫、社群及廣告素材製作
2. 社群平台內容經營及宣傳主題企劃
3. 募資及社群數據整理
4. 其他行銷需求執行支援

【我們在找】
1. 英文好，對於深度英文課程有興趣，想要透過行銷讓課程發光發熱的你～
2. 喜歡美劇、喜歡出國旅遊，相信學好英文讓生活更豐富的你～
3. 沒事就喜歡滑滑 instagram, FB, Dcard，社群重度成癮的你～

【薪資福利待遇】
每小時 180 元、勞健退與免費零食吧！
(遠端工作、三節禮金、員工旅遊等等屬正職之福利)

實習期間：2021 年 5 月 至 2022 年 1 月
工作時間：10:00-19:00 (中間休息一小時)，每週排班 16 - 20 小時 (一週可以上三天班優先考慮)

*由於應徵數較多，我們將只會聯繫與通知專業背景較符合此職務的人選。"
