"index","工作內容"
1,"工作內容: 
 
行銷設計助理
1.需操作Adobe Illustrator 等設計相關軟體，協助廣宣圖編輯製作
2.熟悉Word、Powerpoint ，協助文書整理、簡報製作
3.影片後製剪輯
4.護貝、裁切相關廣告宣傳物之加工
※面試時請攜帶相關作品集。

人事行政
1.負責一般人事資料前置文件處理工作
2.勞務保險相關(勞健保加退及相關保險建立)
3.維護、更新、管理各類文件檔案（如：人事文件）和資料庫系統。
4.完成公司時程表，製作行事曆，並負責會議協調與安排。

公司庶務
1. 負責一般文書資料處理及歸檔工作。
2. 辦理核銷事宜。
3. 協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買）。
4. 收發公文並處理會簽文件。
5. 負責簡單零用金管理。
6. 協助會議安排。
7. 負責外出送件、物件寄送及簡易銀行業務處理。
8. 負責接待訪客、準備會議室及茶水。
9. 協助訂購餐點。
10. 負責辦公室環境與設備之清潔與維護。
11. 支援其他部門業務（如：採購、業務、人事）。

當職務需要,須能配合店鋪實習
具備熟悉Word、Excel、Powerpoint 操作等軟體技巧。

＊任職期間內，表現優異者。有機會轉為正職！
＊週六會彈性上班，若能配合上班者優先考量面試！
"
2,"只要你是~
個性活潑、面帶微笑有禮貌、主動積極
只要你有興趣想多賺薪資以外的獎金，熱愛我們的品牌跟門市，我們有完整的教育訓練、福利、目標獎金、晉升制度(兼職/正職/儲備幹部/店長/督導/副理/經理)，依考核調薪或發放績效獎金，歡迎優秀的您與公司一同成長。
1.顧客服務：商品諮詢介紹、查詢庫存調貨、收銀結帳包裝等。
2.商品管理：進貨補貨、商品排面整理、倉儲管理、商品組裝、商品盤點等。
3.門市形象維護：門市清潔、陳列佈置等。
4.協助總部或主管交辦相關店務工作、銷售及服務工作等。
工作時段
本職缺為長期兼職，
需求時段：早、晚班 (09:30-18:30間) 需可長期配合輪班。
假日需可配合排班，請於自傳內填寫可配合排班的時間(例週一至週日,幾點至幾點)
PS：履歷投遞請將資料填寫完整，包括自傳、照片。"
3,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心 
同事年輕活力有朝氣 

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。 

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

1.主管工作行程之規劃安排，並隨行陪同。 
2.具文書作業能力，影像作業能力，協助主管處理文件、報告等行政與其它相關事務 
3.需配合主管行程出國出差及應酬 
4.執行其他高階主管交辦事項
https://www.dreamermagic.com/"
4,"We are looking for an HR Intern to perform various administrative tasks and support Asia HR Service Center daily activities. HR Intern responsibilities include updating our employee records in HR system, filing employee data, and creating HR report. If you’re interested in kickstarting your career in HR and to work with a multi-national team, we’d like to meet you.

 Responsibilities include but not limit to: 
• Prepare documentation for new hire 
• Update local HR system 
• Gather payroll related data like overtime, leaves 
• Filing employee information digitally 
• Prepare HR-related reports as needed

** Working Time : 2.5~3 days/ per week "
5,"【工作內容】 
◆主要協助招募相關業務(電話招募相關業務) 
◆協助部門行政業務 
◆面談接待 
◆面談安排 
◆面試資料印製及資料建檔等文書處理

職缺排班制，依照公司需求彈性調整班別
可依據上課時間來安排
1週排休3~4天
"
6,"1.公司集合備機/料,一同出車工作(工務車)!
2.至客戶現場執行環境蟲/鼠病媒防治服務!
3.全日班08:00~17:00,早班08:00~12:00,中班20:00~24:00
"
7,"1.公司集合備機/料,一同出車工作(工務車)!
2.至客戶現場執行環境蟲/鼠病媒防治服務!
3.全日班08:00~17:00,早班08:00~12:00,中班20:00~24:00
"
8,"1.公司集合備機/料,一同出車工作(工務車)!
2.至客戶現場執行環境蟲/鼠病媒防治服務!
3.全日班08:00~17:00,早班08:00~12:00,中班20:00~24:00
"
9,"歡迎有熱情、喜歡與人互動、樂於分享與挑戰、擅長溝通的你加入我們~
我們講究團隊合作、工作氣氛活潑~期待您的加入！

工作內容如下：
1. 人員招募、甄選(書審、電訪等)
2. 協助處理庶務性行政工作
3. 零用金管理、請款
4. 其他主管交辦事項 


上班時間：
星期一～五至少20小時起（詳細上班時間可議）"
10,"『BigByte始終在為未來做最好的準備』
從2020開始超前部署，善用線上學習平台及系統，
在抗疫期間堅持停課不停學，並維持原本的授課品質，受到九成家長的滿意回饋！

而實習計畫也不因疫情間斷，持續招募最優秀的人才，
面試過程採線上形式，預計警戒解除後即可受訓到職！

【實習特色】
｜全面接觸並大量累積實務經驗，真實體認HR的甘與苦｜
1. 全方位HR工作經歷，選用育留皆有所參與
2. 資深Mentor、HR前輩在崗訓練與指導
3. 辦公室人際相處、跨部門溝通

【實習方案】
1. 一年帶薪實習
2. 排班時間：週一至週五10:00-19:00，可依課表彈性調整。每週至少2.5天、共計16小時以上。
3. 可配合學校實習

【工作內容】
1. 招募甄選
   ● 履歷篩選、電話訪談、參與面試
   ● 職缺刊登、各類招募管道開發及維護
2. 人事行政
   ● 新人報到手續
   ● 人事資料維護
   ● 外籍同仁工作證辦理
3. 協辦員工訓練課程

【福利待遇】
1. 時薪以$160計，完成合約者提供〖工作獎金〗
2. 免費午餐、點心
3. 勞保、勞退6%提撥；另提供24小時團體意外險
4. 不定期部門聚餐；公司年末尾牙、聖誕派對
5. 每年2-3名優秀實習生直接轉為正職！

~~BigByte邀請對教育充滿熱忱的你／妳一起為台灣的英語教育做出貢獻~~"
