"index","工作內容"
1,"因應未來業務擴張能力，積極招募相關人才。

1.產品出貨與退貨作業
2.進貨商品數量清點、標籤貼黏及歸位等作業
3.倉庫管理、規劃、整理、歸位及環境整理清潔。
4.其他倉儲管理相關作業
5.其他主管交辦事項

備註:須搬重物且工作環境較悶熱

"
2,"【崗位工作內容】
1、貨物包裝：出貨物品包裝、標籤貼紙、貨物搬運放置；
2、貨物處理：包含揀貨、包貨、理貨、整貨；
3、須會基本電腦操作；
4、支援主管交辦事項，需要開車進行貨物調撥運輸；

我們想要這樣的你：細心、動作俐落、反應快！
但是你也需要評估：需久站及搬重物，身體可以負荷哦~


【薪資】 
時薪 160元

【工作時間】
每週一至週日，每日工作時段為4-8小時
假日工作尤佳，假日至少可工作6小時
可根據實際情況討論確認

 【其他】
1. 入職後會有相關培訓；
2. 若表現優秀，公司評估後可以調薪或轉正

\(^o^)/~歡迎希望挑戰的你加入“智選家物流天團”！
"
3,"1.	驗收物流貨物、重整、記錄、清點、盤存作業。
2.	進行商品入倉、交期、送貨、安排等相關工作。
3.	盤點倉庫並進行貨物堆疊。
4.     裝卸貨物，並妥善打包。
5.     整理出貨單與核對。
6.     貨物移動、搬運與堆疊。
7.     操作手拉式工具板車
8.     執行作業區環境整理、清潔維護作業。"
4,"現場作業流程協助等相關事宜。"
5,"【工作內容】
1.負責區域內文件、包裹配送服務。
2.工作內容單純。
3.需自備機車。

★具競爭力的薪資保障，提供基本時薪+派件提成(上不封頂)，另有油資補貼
★提供完善的福利制度和暢通的升遷管道"
6,"1.駕駛幼童車、學童專用車接送學生或運送物品，協助學生上下車。
2.審度交通情況，遵守交通規則，為學生乘車路線做良好規劃。
3.定期檢修車輛及臨時故障小修，並維持車內清潔。
4. 依照政府規定上培訓課程。"
7,"哥配的不是餐~姊送的是一份愛，男女不拘，歡迎你加入我們愛心配送行列！
沒有豐富的經驗沒關係，只要穩定學習不爆走，主管同仁都幫你拍拍手！
沒有高智商沒有關係，只要你有高情商，服務熱誠有溫度，媽咪客戶開心的都想幫你按個讚！

玉膳坊尋找有心人，歡迎您加入【為愛進補】的愛心配送行列！

玉膳坊為三餐現煮現送月子餐之領導品牌，深獲廣大媽咪的支持與肯定，顧客中不乏主播．名人．名模，我們目前擴大編制，徵的就是有專業．有溫度，有熱誠的你！    

開車好安心
1.	提供配車，油錢、保養無需自付。
2.	提供制服、帽子，專業形象，出門有風。

您每天的工作必需做到
1.	裝卸餐點，並妥善打包。
2.	親送餐點到客戶端。
3.	車輛行車前確認（水箱、胎壓、雨刷水、車輛方向燈、剎車燈），以確保行車安全。
4.     每日車輛基本清潔與維護。
5.	注意個人外表清潔及衛生。
6.	主管交辦事項處理。

送餐工作時間
(1)早餐出車時間:07:00~09:30 
(2)午餐出車時間:10:30~13:30 
(3)晚餐出車時間:15:30~18:30"
8,"[需求人格特質]
＊非常細心、嚴謹
＊希望能透過自己的手傳遞幸福感受給他人
＊重視工作意義的社會性，以及自我價值的實現
＊對農村與食物充滿愛～

[工作內容]
1)每日進貨/銷貨資料/耗損/調整單，登打於ERP進銷存系統並掌握正確性
2)針對庫存警示進行進貨提醒，並於進貨時於系統新增庫存
3)驗貨確認數量、品質，控管效期，針對不合標準的產品進行退換貨
4)進貨單登打，並確認價格與合約一致
5)每日包裝出貨，掌控出貨正確性與時效，並針對顧客於訂單備註欄位事項，確認與執行
6)產品上架歸位、並協助倉庫陳列系統化 (理貨時會搬到重物，約一箱20公斤內)
7)庫存盤點，落實庫存正確性
8)倉庫環境清潔衛生維護，並落實倉庫垃圾分類
9)其他主管須協力事項


[必備能力]
excel、word、打字速度流暢

[加分能力]
進銷存系統使用經驗 

應徵時，請於應徵函中簡短分享，以幫助我們更認識彼此。謝謝您
1.你是否曾在『直接跟農夫買』買過東西？
2.為何想成為我們的夥伴？
3.為何您適合成為我們的夥伴
4.您認為『直接跟農夫買』最需改善和提升的地方？
5.您最近15天內是否閱讀？讀物是？
6.期望待遇
7.您的夢想"
9,"1.揀貨、理貨分裝
2.商品出貨包裝
3.確認商品數量、盤點
4.支援客服相關問題
5.不定時整理倉庫
6.維持工作區域整潔
7完成主管交辦事宜"
10,"宇迅國際(LINEX)是全球唯一有世界兩大郵政-日本郵政與法國郵政-共同投資的國際物流集團，宇迅除了協助台灣品牌在國際市場上的跨境運輸外，更與日本郵政和中華郵政在台灣的桃園機場打造世界唯一進入日本電商市場的物流暨轉運中心。除規劃與執行此物流暨轉運中心，宇迅國際併偕同法國郵政與其旗下歐洲第2大的快遞品牌DPD在歐洲廣大的客戶資源，推動此中心的業務拓展，使台灣成為國際品牌在亞洲的跨境電商物流中心。

2021已是實習生計劃的第四年，我們過程成功讓同學們實際第一線地學習和操作真實的國際物流作業，培養解決問題與有效率作業的能力，同時參與全球國際物流專案在台灣的規劃與執行。各屆皆有表現優異者，畢業後依照能力和實習表現，重新面試薪資轉為正職，並以有一年工作以上經驗的年資聘用。

歡迎有志為自己未來創造無限可能，對於想要發揮影響力、樂於流程規劃並hands-on、願意紮實踏實學習，即將邁入大四或應屆畢業生，勇於嘗試與加入我們！"
11,"所需工作具備條件
a 反應動作快 有耐心 團隊合作
b 邏輯要好 組織能力強
c 有把東西歸位 整理好的潔癖
d 具備責任感！
e 上班準時,不隨意請假！

工作內容:

1.網路平台(系統)抓單、撿貨核對、理貨出貨
2.商品歸位整理、協助備貨
3.網路購物平台系統操作，訂單確認處理、訂單狀態追蹤
4.售後服務（客訴處理、退換貨處理）
5.庫存管理（進倉商品建檔、進貨、理貨）
6.整理庫存、庫存盤點、 倉儲管理、不良品處理、庫存紀錄管理
7.熟電腦文書處理 ，key in出貨日報表

※無經驗有心想學習電商也歡迎
※團隊合作，具溝通協調能力
※熟悉基本文書處理（ Excel、Word）會使用Buy+1者優先
※對批發零售領域、電子商務、數位行銷之運作有興趣與熱忱者。

條件優異者薪資另議"
12,"  To support operational procurement department in daily activities.
  Job Description:
  1. Order Management, operational buying (from procure to pay process).
  2. Sourcing Activities/ supplier management.
  3. Report.
  4. Project.
  5. Others."
13,"1. 物件寄送及郵政業務 (主要項目)
2. 協助進貨、出貨相關作業
3.文件校對、影印、傳真、檔案整理、歸檔
4. 支援公司其他部門的行政人員
5.環境清潔維護

歡迎二度就業、工作環境單純、上班時間固定、歡迎認真負責的您!  
"
14,"1. 驗收物流貨物、清點盤存作業。
2. 從事物流貨物、重整、包裝作業。
3. 執行作業區環境整理、清潔維護作業。
4. 進行商品入倉、交期、送貨、調度安排等相關工作。
5. 建置物流作業管控點及制定相關之管理報表。
6. 進行零售商品庫存管理及售後服務調查。
7. 配合業務需求，適時調整物流及倉庫相關作業。
8. 為後勤系統與零售體系間溝通運作之窗口。
9. 製作及管理客戶訂單報表。
10. 規劃配送路線。"
15,"男女不拘、有無經驗皆可,餐飲連鎖集團中央廚房- 物流、理貨、包裝、配送  
排班制,不定期調薪
工作時間 05：00 ~ 12：00"
16,"有無經驗皆可、肯學習負責
(具倉儲管理經驗者起薪另議)
工作時間 05：30 ~ 8：00
不定期調薪，可提供 2 ~ 8 小時者"
17,"男女不拘、有無經驗皆可,餐飲連鎖集團中央廚房-配料、調理製造、包裝。          
物流-理貨、包裝、配送
周休二日 ，不定期調薪，可提供 6 ~ 8 小時者
工作時間 06：00 ~ 18：00間，採排班制"
18,"【 主要工作內容 Major Responsibility 】
｜商品入倉｜商品驗收、盤點、效期確認
｜商品上架｜安排最符合空間效率之方式，進行上架存放、儲位管理
｜商品加工｜貼標及其他客製化加工服務
｜商品出貨｜揀貨、出貨、包貨，讓每一個包裹都是最完美的樣子
｜庫存管理｜核對系統及現場庫存數字，確保一致性，提出異常狀況
｜商品調撥｜協助處理特殊狀況，進行跨單位溝通，共同解決問題
｜額外協助｜視情況協助物流團隊收送貨物，及其他主管交辦事項
❖ 上述工作內容非一人獨立作業，皆會與團隊協作完成

【 需求條件 Qualifications 】
1. 擁有良好的溝通能力＆執行能力
2. 耐心負責、注重細節、抗壓性高
3. 對現場作業有熱忱，有高度自主性願意和團隊一同完成挑戰

【加分條件 Bonus Conditions】
1. 有工作經驗為佳，無倉管工作經驗也歡迎
2. 對建置標準作業流程(SOP)有想法，對供應鏈及倉儲物流有熱忱
3. 擁有手排車駕照，並遵守道路之安全駕駛
4. 堆高機操作技術士


▼ 我們想找的不只是公司裡一塊拼圖，而是一起打造新版圖的人 ▼

BOXFUL 是一間致力於解決空間問題的科技公司，2015年從香港發跡，並在2016進軍台灣，至今已深耕五年。一開始從居家生活空間出發，推出不同於市場的進階版個人倉庫【到府迷你倉】服務，囊括搬運、物流...等衍伸之煩惱。在 2018 年推出針對企業用戶的【企業倉儲方案】，解決更大型的空間難題。2020 年再次全面升級為全方位解決電商賣家最急迫所需的【BOXFUL電商物流】。因為團隊不停地拓展，也因此BOXFUL的每一位都扮演了極其重要的角色，因此我們不需要只想來當一塊拼圖的人，我們需要的是嚮往打造整塊拼圖的人才。

BOXFUL是一個從不停止轉動的團隊，時刻充滿挑戰，時刻肩負重任，這裡的生活並不輕鬆寫意，這裡的生活不允許原地踏步。在這裡，我們需要你突破自我、快速成長，我們需要你不畏前進，拓展版圖。如果你也是這樣的人才，這裡，不會辜負你的野心，這裡，會準備好你的舞台!
"
19,"1. 負責進貨出貨；驗收、清點物流貨物及退貨整理。
2. 以有條理且易取得的方式儲存擺放倉庫中的貨品項目。 
3. 複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。 
4. 利用辨識標籤工具或其他標籤設備，在庫存貨物上做記號。 
5. 定期清潔庫存、工具、設備或貯藏室，以確保貨物整潔。 
6. 協助主管交辦事項，必要時協助處理。
7. 配合度高，願意協助同事並互相幫忙。
 

"
20,"1.負責一般文書資料處理 & 客服工作。
2.維護、更新、管理文件和資料庫系統。
3.印單、計算貨物數量、電腦記錄資料。
4.協助顧客完成公司提供之服務，包括內、外勤。
5.提供相關事項的諮詢服務。
6.複查庫存數並紀錄解決會員之問題。
"
21,"1.負責進貨出貨；驗收、清點物流貨物及退貨整理。
2.以有條理且易取得的方式儲存擺放倉庫中的貨品項目。 
3.複查庫存的貨物數量與紀錄是否相符，查出不一致之處並更正錯誤。 
4.利用辨識標籤工具或其他標籤設備，在庫存貨物上做記號。 
5.定期清潔庫存、工具、設備或貯藏室，以確保貨物整潔。 
6.協助主管交辦事項，必要時協助處理。
7.配合度高，願意協助同事並互相幫忙。
 

"
22,"1. 貨物整理、進出點貨、入庫品檢、包裝出貨、等相關作業。
2. 庫存管理、倉庫環境整理及維持 
3. 總務行政作業協助執行及完成單位主管交辦事項 。
"
23,"個人特質需求：細心且有耐心
1.品檢、出貨、包貨。(主要工作)
2.直播訂單彙整
3.倉庫與庫存清點
4.二手衣物品質管理
5.其他主管交辦事項"
24,"作業員/包裝員/倉管
【工作內容】
倉儲：周一,四,五
包裝、理貨、寄件、盤點、裝卸
耐勞、細心謹慎，出錯容許值低。
包耗材的控管及紀錄
**商品重量約1-2公斤, 若有需要會有協助裝卸等勞力服務
辦公室 工作天數:每周二, 週三（可彈性安排）
1.. 進銷存資料入帳
2. 資料文件整理備檔, 行政工作支援


 【享有福利】
1. 生日禮金
2. 不定期優質(進口)美食試吃
  "
25,"1- 需自備機車。（檔車與gogoro較不適合）
2- 論件計酬。（約64分成+1成獎金）
3- 規定時限內收送客戶物件。
4- 收送過程中妥善保管物件。
5- 另有績效與轉介獎金。
6- 有勞、健、團保+勞退6%，非承攬關係。

適合喜歡騎機車趴趴走的你，歡迎加入我們的行列！"
26,"1.協助公司進出貨物之提領,打包,分類等倉儲搬運之工作。
2.協助處理庶務性行政工作。
3.上班時間: 每週一至週五10:00 a.m. ~ 18:00 p.m., 中午休息1小時。
"
27,"檢貨-將商品從架上檢出 
取貨-協助挑貨給予現場取貨會員 
其它-環境整理 "
28,"工作內容 
協助20呎貨櫃車下貨 
時薪$360($160+海運津貼$100/半小時)"
29,"【工作內容】
1.負責區域內文件、包裹配送服務。
2.工作內容單純。
3.需自備機車。

★具競爭力的薪資保障，提供基本時薪+派件提成(上不封頂)，另有油資補貼
★提供完善的福利制度和暢通的升遷管道"
30,"工作內容:
1整理、清點、堆疊貨物 。
2.執行作業區環境整理、清潔維護作業。
3.進行商品入倉、出倉。
4.工讀生(夜校生和大四生可)"
31,"此職缺將實際接觸採購的日常工作，非常具挑戰難度~
歡迎對室內健身器材、對採購有熱情、喜歡應對供應商、樂於挑戰的你加入我們~
我們講究團隊合作、工作氣氛活潑~期待您的加入！

工作內容如下：
1. 採購流程審查、跟催
2. Key in 物料資料
3. 供應商資料管理維護
4.SAP MM模組應用
5. 其他主管交辦事項

上班時間：
星期一～五，每天8小時（詳細上班時間可議）"
32,"我們正在尋找對醫療器材產業有興趣，具工作熱忱、認真負責特質之實習生。您有機會參與公司運作，獲得實務學習經驗與職場接軌，有助於您專業的養成。

實習計畫：
1.佳創生技藉由師徒制度，由專屬導師教導與協助專業問題。實習期間表現優異者，公司會提供實習證明，並優先考慮聘用。

2.協助工作內容: 
1). 進料檢驗(IQC)確認料件是否符合圖面和標準要求；
2). 倉儲料件清點和管理；
3). 生產計畫執行；
4). 國際進出口和物流管理；
5). 標籤、說明書、樣品準備。

3.招募對象：商業及管理學科類,工業工程相關,物流航管相關科系大二到大四學生。其他科系也歡迎嘗試。

4.實習時間：希望每週至少實習2-3個工作天，如時間上有問題也可以提出討論。

5.實習薪資：時薪NT$160，提供勞保。

6.請附個人自傳。

7.其他:
- 新進人員安排產品、醫療器材法規、作業流程等內部培訓。
- 視需要不定期安排內、外部培訓。"
33,"1.盤點倉庫並進行貨物配送。
2.裝卸貨物，並妥善打包。
3.撿貨、整理、盤點、進出貨。
4.沒有業績壓力。
5.週休2日。
   
 ＊＊由於工作環境安全上的要求，會抽煙者勿投＊＊"
34,"運籌中心擴大招募兼職倉管人員，時薪優於基本工資，
無經驗者可，可長期配合者優先錄取，工作說明如下：
1. 週一至週五14:00-21:00自行安排上下班時間
2. 每月排班至少需60小時
3. 負責倉儲撿料包裝檢核出貨
4. 工作時間彈性，環境整潔安全
5. 工作地點近長庚桃園分院(林口工四工業區)
6. 公司提供勞健團保"
35,"1.SMT/MI生產工單備料
2.ASSY/PK生產備料
3.外銷材料備料作業
4.公司內部領料作業
5.進料入庫/退料作業"
36,"1.小包裹分類/上架/刷碼/裝箱拉貨等理貨 
(包裹是超商寄件包裹，簡單易上手)


2.上班時間：18:00-作業結束
3.月排休八天 
4.地點 : 金蘭醬油後面 
5.時薪: 160/H 
6.享勞保
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 
聯絡時間 
星期一至五早上8:00~下午17:00  (除午休11-12點) 
意者請撥0970-014-910 王小姐 
加入LINE詢問 @findjob "
37,"1.貨物挑揀、清點、包裝、理貨。
2.執行作業區環境整理、清潔維護作業。
3.進行商品入倉、出倉。
4.工讀生(夜校生或大四生可)"
38,"我們的理念
積極正面的團隊精神
IKEA是一群腳踏實地、坦率真誠並且對居家佈置充滿熱情的團隊。我們來自世界各地，但卻擁有激勵人心的共同願景：「為大多數人創造更美好的生活」並以共同的人文價值觀實現此願景。這些價值觀是我們工作的基礎，也是IKEA包容體貼、開放誠實文化的根基。
與我們共事就像和朋友共事一般。IKEA的文化是以團結、熱情及樂趣為基礎，而我們一直在尋找具有同樣正面態度與價值觀的夥伴。

1. 以最有效、安全的方式，協助賣場完成補貨流程(商品倉儲、補貨、搬貨、理貨)，確保商品流通作業最佳化。
2. 學習運用 IKEA 的相關知識和工具，以及同事的經驗與專業，盡量以最低的可能成本，提供正確貨品給予顧客。 
3. 上班時間: 14:00-18:00。
4. 工作期間：報到日起至2021/12/31。
5. 一周要能排班至少4天，週末六日也需要輪班上班。在學學生請先確定自己的課表可以配合，再行投遞履歷。
6.  若當月全勤獎金計算期間無遲到、早退、事假、病假、曠職者，發給全勤獎金，每小時發予NT$ 6元，每次發放上限NT$1,000元。
7. 工作地點為內湖店為主。"
39,"一、竹夢緯創實習計劃簡介
(一)計劃說明
2021/05 您投遞履歷，緯創視需求邀請面試
2021/06 若確認錄用您，將可獲得$72,000以上簽約金 (畢業後需留任一年)
2021/07 您開始為期一年實習(視可報到時間而定)，每月給予實習薪資
2022/07 畢業後需在緯創就業一年，每月給予薪資

(二)參與資格
即將升大四的大專院校學生，且學校可配合一年實習者；


二、開放實習職缺之崗位
(一)自動化測試工程
ATE工程技術 , Computer組合語言專長 , 電子電路分析 , 設備維修
<備註>工作地點為湖口工業區，需求2人

(二)物料規劃專案管理
1. 協助對應廠商、建立訂單、確認掌握交期           
2. 資料數據驗証與統合
3. 協助與Core User溝通並協助系統改善計劃
4. 協助改善規劃並追蹤進度
5. 進度報告製作與簡報安排
<備註>工作地點為新竹科學園區，需求3人

(三)產品工程
1. 學習PC/Server新產品的工程規格與技術，並導入測試方式
2. 制訂測試治具list, 並協調相關單位準備事宜
3. 編寫test script, e.g. Linux Shell script
4. 編輯測試SOP及其它相關SOP文件
5. 技術支援並協調解決工程問題
<備註>工作地點為新竹科學園區，需求1人

(四)RF產品應用工程師
1. 瞭解RF產品CPE的技術規格，並與專案負責人商討提案
2. 聯絡協調RF綜合測試儀廠商取得報價，並學習其規格及量測方式
3. 協助制訂測試治具list, 並依產能需求調整數量
4. 協助編輯並導入安裝SOP和測試SOP相關文件
5. 技術支援並協調解決工程問題
<備註>工作地點為新竹科學園區，需求1人

(五)軟體工程師
1. 將辦公室作業, 例如Microsoft Excel, 或從website登入及查詢資料等動作需求進行邏輯化分析
2. 協助與需求者討論最佳處理方式及期望產出結果
3. 以UiPath及VBA編寫程式並實作
4. 驗證程式, 列入排程正式發佈
5. 技術支援及維持程式排程運作
<備註>工作地點為新竹科學園區，需求1人"
40,"1.協助每日：倉庫及商品整理、印單、撿貨、包貨、理貨、出貨。 
2.倉庫進/銷/存管理。 
3.文書報表管理及基本電腦處理。 
4.庫存盤點及整理 。 
5.其他主管交辦事項。 
6..此工作需搬重物、打包貨品，需刻苦耐勞、細心負責；想找輕鬆工作者勿試，歡迎工讀或正職人員等  有志人士加入。"
41,"疊貨櫃和站所打掃"
42,"協助下貨所有貨件下完後環境清潔打掃"
43,"工作內容： 
1.倉儲物流商品撿貨、理貨、品檢、分貨、盤點...等。 
2.工作內容簡單，一學就會。 
3.歡迎二度就業及夜間就學者。 

♣薪資待遇：時薪:160/H~175/H(不含工作獎金) 、月薪
♣表現良好另有績效獎金、撿次效率品質獎金 

工作時段： 
♣ 早上8點30分~下午5點30分' 
♣ 月休八天 (固定週日休假,其他四天排休) 

另有績效獎金，工作表現佳可升任管理幹部"
44,"1.貨櫃拆卸及裝疊
2.貨品分類及搬運"
45,"物流理貨搬運工"
46,"此「八里倉儲作業專員」的工作內容，主要為倉儲貨物的點收、搬運、整理，行有餘力，亦需要幫忙宅配客戶貨物上門，偏向勞務性質工作，但若有電腦專長、文書能力強，亦得轉內勤工作，薪資亦會調整，並有更好的升遷條件：
（須配合貨物到倉時間調整上下班時間，以８小時計，超過即算加班，加班費比照勞基法辦理。）

1. 協助貨物的出、入倉。
2. 貨物的整理、分類。
3. （選修）宅配貨物至客戶府上。

三個月試用期底薪$160
試用期過後薪資$180（表現良好不受三個月限制）
薪資加權（試用期過後計）：
會開堆高機，有執照＋$20
會開貨車，有執照＋$20（須能配合送貨）

在學學生可依實際上班時數核計薪資



"
47,"協助下貨所有貨件下完後環境清潔打掃."
48,"『超讚的出貨速度』★★★★★
『超讚的服務』★★★★★
『超讚的商品品質』★★★★★
『超給力的團隊夥伴』★★★★★

每當收到正面的評價回饋，我們都謹記在心—— 因為就算訂單非常大量，將商品以最迅速、最完善的方式送到消費者手上，依然是優迪極為重視的服務環節，而高效率的出貨速度更要歸功於倉儲物流的每一個夥伴！現在正強力徵求新血—【包裝出貨人員 / 工讀生/網拍小幫手】


工作內容主要如下：

1. 依據訂單出貨、貼標、撿貨、包裝、庫存盤點等倉儲作業相關事宜。
2. 執行作業區環境整理、清潔維護作業。
3. 其他主管交辦事項。
◎細心、動作俐落、反應快 
◎具收納能力、清潔概念、品質意識 
◎需久站及搬重物需求

優迪重視每個部門及每個夥伴的發展，沒有經驗也無妨，只需要認真的態度和嘗試的勇氣，你的努力一定會被看見!"
49,"1. 協助倉管進貨、入料、撿料。
2. 協助收發料。
3. 客人來訪時協助接待。
4. 郵件收發 .
5. 外出辦事(急件加工件退修/電子零件取貨) .
6. 支援其他單位 /其他主管交辦事項."
50,"(感謝您的關注，目前由於疫情的緣故，招募目前暫停。待疫情趨緩再開始面試的安排)
工作時間: 周四至周五 上午10:00 至下午18:00 或18:30 (每周二日，下班時間可以微調)

工作內容：
1.負責區域內的連鎖(通路之商化拜訪)
2.協助相關專案執行
3.負責協助合作藥妝店(屈臣氏、康是美及寶雅等)之商品上架、陳列擺設、維持商品的整潔與美觀 
4.客戶端問題紀錄及反應
5.工作區域: 台北市及新北市的重點合作門市
6.需自備機車及駕照 (油資/交通費用可請款)


★歡迎年輕有活力、熱愛生活與工作、個性外向、樂於接觸不同環境與人群的您加入。
★此工作型態不同於辦公室，外勤時間多於內勤，請確定能接受再應徵。


若有意願請寄送履歷至: kaya.chou@memebox.com
"
51,"1. 海空運提單製作
2. 帳單製作
3. 業務工作 (無業績)
3. 其他交辦工作

PS.1. 在職學生 2. 一周上班5日,請於履歷中說明  3. 限中華民國籍"
52,"1.計時時薪160元起(每3個月依工作表現得適度調整),享勞/健保及勞退
2.工作內容為配合主管調配完成包貨及理貨流程
3.若適應良好可申請轉正式職員(享分紅,三節獎金,年終獎金,特休假,不定期員工旅遊級額       外加保職災壽險)"
53,"1.去屑分模處理
2.環境整理與打掃
3.可配合08:00~17:00時間者優先錄取"
54,"1.出貨、搬貨、疊貨及交貨等作業
2.貨物重量20~ 25公斤，需體力佳，能吃苦耐勞者 
3.工作期間：1週~3個月(適合短期工謮生)
4.享勞、健保及6%勞退提撥
5.中午供餐"
55,"1.應徵計時人員,時薪160/170/180/190/200元起(每3個月依工作表現得適度調整)若面試通過可直任正職人員 ; 正職人員享勞/健保及勞退,公訂特休假,三節獎金,生日禮金,員工旅遊,公司團險及每月達成分紅
2.工作內容為配合主管調配完成進出貨,分貨包裝及理貨上架.....等倉庫工作
3.若計時人員適應良好仍可申請轉正式職員
4.為因應擴展公司業務需求,即將新增大型倉庫,大舉應徵工作夥伴將會轉往新倉庫任職"
56,"工作穩定 
中餐公司供應 特
公司提供機車跑三餐供應時段(需要機車駕照) 

單趟來回約2.5小時 

3個時段可選~ 
早上6:00~9:00 
另有午班10:00~13:00
晚班16:00~19:00
以上為正常人之大約來回速度
視個人速度取決下班時間
平均約2.5小時左右即可來回一趟
預定排修制  
長期配合者
單趟來回400元 "
57,"配送月子餐
上班時間:6:30~18:30(中間有休息時間)
中午供餐

一周排班約3~4天
"
58,"安排訂單包裝出貨
認真負責者
週休二日國定例假日休
工作時間：每星期一到五　選數日或者是選五日
可視個人情況彈性調整每週上班天數
工作時間13:00~17:00（大概是這個時間左右)


適合長期打工者"
59,"冷凍食品整理出貨
分裝包裝
上班時間
1-18:00-21:00
2-16:00-21:00
上班時間
每星期三到星期日
(愛上班偷懶.玩手機.求職蟑螂不須投履歷)
(愛上班偷懶.玩手機.求職蟑螂不須投履歷)
(愛上班偷懶.玩手機.求職蟑螂不須投履歷)

"
60,"工作內容：  

1.網購商品條碼刷讀、貼標、品檢、分貨...等。  
2.工作內容簡單，一學就會。  
3.上班時段彈性。  
4.工作地點近柑園國小。  
5.歡迎二度就業及夜間就學者。  


♣薪資待遇：160/H起(不含工作獎金)  
♣表現良好另有績效獎金  

工作時段：  
12:00~17:00(下班時間視商品貨量調整，最晚到18:00左右)"
61,"於早上／下午（每周輪流）揀貨並送貨至指定店面，以及其他主管交辦事項。
＊此職務需搬重物（揀貨上車及下貨）"
