"index","工作內容"
1,"於此專區投遞履歷即可應徵台耀化學股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
藥品製造業

【公司簡介】
台耀化學於1995年以委託研發實驗室的形式成立，並於2000年踏入原料藥生產的領域。挾其強大的研發實力及厚實的品質系統，逐漸在生技製藥業展露頭角。目前已有多項原料藥及防曬系列活性成份產品行銷全球，而防曬系列活性成分產品為全球前三大供應商。台耀擁有多項ISO認證，且已成功通過台灣衛生署，美國FDA，歐盟(德國BSG), 及日本PMDA的GMP查廠認證。因應拓展海外市場的需求，本公司除了投入大量的資金，購買及改善硬體設施，在人員訓練上，公司安排相關課程並配合實際操作教育員工，亦與國內外的顧問公司簽約，無論在GMP規範、智財權、或法律問題，皆可藉由諮詢顧問有效率地解決，使公司之研發、生產及業務推動免除後顧之憂。本公司在cGMP規範要求下，不斷的更新與落實，務使本公司的產品，符合國際現行優良製造規範標準，進而使更多的產品及代工業務深入至歐美地區。未來，本著立足台灣放眼天下的信念，希望能在國際的舞台上站有一席之地。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《生產製造-助理(副)工程師》
工作地點：桃園
工作內容：
(1)原料藥生產製程設備操作(投料、機台操作)
(2)生產GMP文件撰寫
(3)廠內設備狀況排除
(4)負責產線進度追蹤
(5)廠區設備清潔及環境管理
(6)薪資：5萬~6萬元(含加班費)
(7)12小時日夜輪班；休假：排休制
(8)科系限制：化學、材料、生物、化工相關科系

2.	《生產製程-技術員》
工作地點：桃園
工作內容：
(1)投料、粉碎、過篩、包裝（穿無塵衣，於清淨室內作業）
(2)廠區設備清潔及環境管理
(3)薪資：4萬~5萬元（含加班費）
(4)12小時日夜輪班；休假：排休制
(5)科系限制：不限科系，具生產/輪班經驗者佳

3.	《針劑製造-助理(副)工程師/技術員》
工作地點：桃園
工作內容：
(1)針劑無菌生產區各項生產作業執行與設備操作
( 2)GMP文件編輯與紀錄填寫
(3)參與人員教育訓練，包含線上訓練與GMP概念等
(4)各項驗證與確效作業執行
(5)製程室環境日常巡檢與維護
(6)視需求支援無菌產品異檢及包裝作業
(7)參與新產品、新設備引進評估
(8)生產相關專案執行
(9)主管交辦事項
(10)科系限制：不拘


4.	《生產文件-(助理)副工程師》
工作地點：桃園
工作內容：
(1)建立並維護生產單位之一般性文件、技術文件以及GMP相關文件
(2)製程移轉、試劑、製程放大以及製程改善相關文件與事務處理
(3)變更管制、異常與客訴之相關事務處理
(4)科系要求：化學相關、化學工程相關、藥學相關

5.	《品保-文件(助理)專員》
工作地點：桃園
工作內容：
(1)文件生效、分發、回收、歸檔及調閱
(2)教育訓練計劃管理、記錄建檔及追蹤
(3)需與業務往來部門溝通協調
(4)支援其他文管業務
(5)科系要求：化學相關、化學工程相關、藥學相關

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
2,"於此專區投遞履歷即可應徵台全電機股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
汽車及其零件製造業

【公司簡介】
台全電機集團為台灣前五百大企業，是台灣及全球知名車廠主要合作對象。
深耕台灣，擁有完整的生產線，且朝工業4.0自動化邁進。我們自有垂直整合的能力，從研發、生產(鋁合金壓鑄及沖壓廠)、加工(車床、銑床及鑽床)、組裝，為全球知名車廠提供馬達產品整合的服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《技術處-自動控制工程師 》
工作地點：桃園
工作內容：
(1) 規劃自製設備、開發與程式編寫
(2) 設備人機介面規劃與設計
(3) 自動/半自動設備PLC與人機介面設計經驗*PLC會其中一種即可
(4)科系要求：電機電子工程相關、機械工程相關

2.	《暑期工讀生》
工作地點：桃園
工作內容：
(1) 生產報表填寫
(2) 產品檢驗、測試
(3) 馬達組包裝作業人員
(4) 需配合加班
(5) 主管交辦事項
(6) 工作性質為定點久站
(7)日班時段:08:00~16:50(需配合加班兩小時為限)/夜班時段:19:20~0330(需配合加班四小時為限)
(8)科系要求：不拘

3.	《專案管理 PJM (Project Management)》
工作地點：桃園
工作內容：
(1) 對外作為與客戶溝通橋梁，尤其針對專案時程的控管及對應
(2) 對內協調各部門，確保專案時程進度
(3) 負責召開及主持對內部及客戶固定會議
(4) 控管產品開發專案相關之預算/費用
(5) 參與專案所需量產零件之供應商評估以及成本估算
(6)科系要求：不拘

4.	《研發處-產品/機械設計工程師》
工作地點：桃園
工作內容：
(1) 產品可行性評估
(2) 產品與零組件開發設計
(3) 材料選用及驗證測試
(4) 零件模具開發檢討
(5) 原型樣品試作與測試
(6) 跨部門溝通協調
(7) 協助產品導入量產
(8) 不良分析改善
(9) 累積公差計算
(10) 產品包裝設計規劃
(11)具馬達相關產業經驗者佳，英文專長
(12)科系要求：機械工程相關、電機電子工程相關

5.	《品保工程師》
工作地點：桃園
工作內容：
(1)品質異常處理與改善對策的執行追蹤
(2)FTQ馬達異常分析與產線上品質事項處理
(3)專案的規劃及輔導執行
(4)處理/對應客戶抱怨及跨部門協調
(5)具識圖能力
(6)有志朝品保專業發展但無相關經驗者可培訓

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
3,"於此專區投遞履歷即可應徵艾克爾國際科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
半導體製造業

【公司簡介】
艾克爾國際科技(Amkor Technology)為全球第二大先進半導體封裝與測試服務提供商。於1968年創立於美國賓州，目前在美國、日本、韓國、菲律賓、上海、台灣都有生產據點，全球員工總數約38,000人，並在那斯達克股票公開上市(Nasdaq: AMKR)。艾克爾以策略製造夥伴的角色，提供全球超過兩百家居於領導地位的半導體公司與OEM廠，並強調技術的穩健與創新，致力於改善現有產品製程的效能與積極發展新封裝與測試服務。艾克爾於2001年合併上寶半導體與台宏半導體，成立艾克爾台灣分公司，2004年併購眾晶科技成立湖口廠，同年入主悠立半導體。台灣地區現有龍潭廠、湖口廠及艾克爾先進科技廠，主要產品包含晶圓凸塊、覆晶封裝、晶圓級封裝、測試製程與全球獨家的數位光源產品，廣泛應用於通訊、消費性電子、網路設備等領域。除了服務國內IC廠，美國、日本等世界各地的IC大廠也是本公司服務的重要對象，是符合市場潮流的科技產業。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【實習】資訊MES工程師-湖口廠/龍潭廠》
工作地點：桃園
工作內容：
(1)MES相關系統開發與維護
(2)生產管理報表系統開發與維護
(3)需求技能：
3-1. VB6 & VB.NET
3-2. WinForm application development experience & knowledge.
3-3. Knowing how to use Database (Oracle/MS SQL).
3-4. Web application development experience & knowledge.
(4)科系限制：資訊管理相關、資訊工程相關、其他數學及電算機科學相關

2.	《產品-Bumping產品工程師-龍潭廠》
工作地點：桃園
工作內容：
(1) New product introduction, to arrange new product to be qualified.
(2) Low yield analysis, with preventive action proposal.
(3) Failure analysis handling, includes edx analysis, cross-section, FIB..etc.
(4) Mass production yield maintenance, trouble shooting.
(5) Customer visit/audit activities handling.
(6) Project management
(7)科系限制：化學相關、化學工程相關、材料工程相關

3.	《製程-製程工程師-湖口廠》
工作地點：新竹
工作內容：
(1)良率改善
(2)製程異常處理
(3)專案執行
(4)上班時間 7:30~19:30 / 19:30~7:30，二休二，每三個月進行日夜輪調行
(5)科系限制：不拘


4.	《管理-生產線帶線課長-湖口廠》
工作地點：新竹
工作內容：
(1)具基本英文溝通能力(會議以及菲籍外勞溝通)
(2)生產線排程
(3)人員管理, 訓練
(4)專案改善
(5)科系要求：企業管理相關、工業工程相關、其他工程相關

5.	《產品工程-產品測試工程師-龍科廠》
工作地點：桃園
工作內容：
(1)提升產品良率
(2)新產品導入
(3)產線與客戶間之技術窗口
(4)科系要求：電機電子工程相關、通信學類、資訊工程相關

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
4,"1.網路資訊蒐集
2.數據資料處理
3.協助大數據資料智能分析"
5,"“Cooks the materials and finds out the secret recipe of every cool bike.”
“深入探究每台炫酷單車背後的材料故事”

SUMMARY 概述
Do you enjoy new challenges? Are you excited to learn from the most talented engineers in the industry and develop your expertise?  Specialized is looking for a material lab intern, and this internship program will run for 6 months. In this internship, you will have a great opportunity to apply your material knowledge to real products and prepare for your future career. 
您腦中常常有好點子，迫不及待挽起袖子來實踐，而且總是挑戰自己跨出舒適圈嗎? 您期待與打造這些酷炫單車的各方好手一起工作嗎? Specialized單車，在單車車友間是討論度極高的夢幻逸品。現在，Specialized開放了一個6個月的材料實驗室實習機會，給材料專業的學生。您將有機會在充滿創新氣息環境下，活用課本中的知識，甚至結合在學校的研究，來解決業界第一現場遇到的實務問題。這將是您將材料知識轉變為真實世界產品的一個絕佳機會，更是在職涯上超前部屬，提前探索自己的職涯路線的一步好棋！

HOW YOU’LL MAKE A DIFFERENCE 工作內容
•Engage in material projects such as heat-treatment, surface treatment, welding, and mechanical property tests. 
•參與材料專案，包含熱處理、表面處理、銲接、以及材料機械性能測試
•Engage in solving material quality issues and learn from hands-on failure analysis. 
•參與材料品質異常解題，並實作材料破損分析
•Apply the materials principles and hands-on skills of material analysis to engaging the material projects. 
•應用材料科學學理以及實驗技能，以參與材料專案
•Search and find information/literature for mini projects assigned. 
•因應專案解題需求，蒐集資料，包含技術資訊、學術論文、工業規範。
•Conduct assigned mini projects and make presentation to communicate the findings. 
•執行被交付之小型專案，並對團隊做簡報以呈現結果
•Go to the domestic production sites with your mentor for project purposes. 
•因應專案需求，與饅頭(mentor)一同拜訪國內協力廠商，訪視生產現場

WHAT YOU NEED TO WIN 申請資格
•Senior year or Grad student in Material Science and Engineering field; Metallic materials major is strongly preferred. 
•大三、大四材料系學生，或者材料所碩士班學生。金屬材料主修佳。
•Hands-on experience in either material process, material testing, or material characterization. 
•有以下任一相關實作經驗：材料製程(如熔煉、滾軋、熱處理)、材料測試(如拉伸、疲勞、殘留硬力)、或材料分析(如金相製備、元素分析、電子顯微鏡、熱分析)等
•Proactive and dare to face new challenges. 
•主動積極，勇於挑戰
•Good collaboration and teamwork abilities 
•良好的團隊合作能力
•The candidate has flexible work time option: 1) Work for 16~32 hours per week, lasting for 6 month, or 2) 40 work hours per week, lasting for 2 month 
•此計畫之上班時間可因學生之個人學習狀況，就以下兩種方式擇一： 1) 學期中間: 每周到辦公室上班16~32小時，連續6個月，或者2)暑期密集: 每周上班40小時，連續2個月""。
•Good written and verbal communication skills in both Chinese and English.
• 良好的中英文能力，包含書寫與口語溝通。
•Knowledge of mechanical manufacturing technologies or any hands-on experience is a plus. 
•具備機械製造概念或者有過相關經驗者加分。


WHAT YOU CAN EXPECT 實習計畫給您的優勢
•You can work for a world-leading and innovative bicycle brand. You will be ahead of most of your schoolmates and understand your passion better. 
•您將在一間世界領先的高端單車品牌實習。超前部屬，取得領先其他同儕的職場體驗，並深入了解自己的職場性向。
•Those who show passion and potential during the internship will be highly considered in future recruitment of full-time employees.  
•實習期間表現優異者，畢業後申請正式職缺優先錄取。
•Working in a friendly and inclusive environment that respects individual differences. •您將有機會了解美商職場文化，在一個人性化、友善、尊重個人差異的工作場所實習。
•Having the opportunity to work with people of various expertise, including design, engineering, manufacturing, testing, quality, and purchasing. 
•您將有機會與跨部門不同專業前輩們一同工作，包含機構設計、工程研發、製造技術、產品測試、品質管理、以及採購部門等。您將有機會向他們請益。
•A mentor will work with you. You will learn about material failure analysis and the industrial knowledges. 
•將會有導師(mentor)手把手帶領，傳授您材料破損分析以及業界知識。

"
6,"您好，這是一個創新有活力的團隊，正在尋覓與眾不同的人才。即使非正職，我們依然重視。

您若具備邏輯思考的能力，可獨立作業解決問題，充滿求知慾與學習力，勇於接受改變，善於變通，不怕多向多方溝通，喜歡團隊合作的默契與氣氛，渴望接觸更多的工作面向，我們歡迎您的加入！

本職位主要的任務如下：
1. 產品備料。
2. 實驗室環境整理、廢棄物清理。
3. 臨時性交辦專案/事務。

希望與您一起建立充分溝通、差異化思考，朝知識管理的方向共同成長，也期許隨著您的實務經驗累積，與公司同步提升，共創價值。"
7,"1. 協助工程師安排主機設備檢測
2 .協助工程師文件資料整理
3. 其他設備資訊交辦事項
4.依照客戶需求處理資訊交辦事項
"
8,"*五月中下旬開始安排面試，面試時間在六月初。
- Intern Period: July-1-2021 to May-31-2022.

- The CRA Intern program is full time, will need to come to Taipei office 5 days a week.
- Support Clinical Operation Assistant (COA) on tasks (such as administrative work)
- Training will be provided through intern period to enhance intern's understanding of CRO industry. 

"
9,"於此專區投遞履歷即可應徵金格食品股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
糖果點心製造業

【公司簡介】
金格食品成立於民國69年，秉持「創新精緻、美味求真」的烘焙概念，於民國82年6月榮獲FGMP食品良好作業規範認證，也於92年通過ISO-9001-2000認證，民國96年8月榮獲得國家品質金像獎的殊榮，更連續4年榮獲GSP。工廠全自動生產線採用日本SHIN-NIHON CASTELLA LINE(隧道式生產線)，並引進日本FUJI全自動無菌充氮包裝系統。全省共有15家門市，零售商品系列主要包括：長崎蛋糕、彌月禮盒、喜餅禮盒、伴手禮、小點心等商品。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《研發部研發助理 》
工作地點：桃園
工作內容：
(1) 原物料領料、文件收發、文具雜物申請、樣品貼標、分類、送交工時日報表、假卡收發、請借款作業、發送會議通知單及記錄。
(2) 熟悉電腦文書作業
(3) 食品相關科系畢業佳
(4) 科系要求：食品科學相關、食品營養相關

2.	《業務(日文)助理專員》
工作地點：桃園
工作內容：
(1) 專責業務相關之公司內部文件作業
(2) 日系的客戶往來業務翻譯作業處理(仍須有基本英文能力)
(3) 協助英日系客戶代工業務往來
(4) 喜好咖啡與糕點並具有相當市場敏感度
(5) 協助主管專案整理規劃、推動與執行。
(6) 科系要求：一般商業學類、食品營養相關

3.	《行銷企劃專員》
工作地點：桃園
工作內容：
(1) 負責所屬商品行銷策略擬定
(2) 相關行銷活動規劃與執行
(3) 相關產業消費趨勢研究與分析
(4) 實體活動規劃
(5) 行銷活動規劃
(6) 異業合作洽談
(7) 科系要求：大眾傳播學科類、市場行銷相關、企業管理相關

4.	《運輸小貨車司機》
工作地點：桃園
工作內容：
(1) 配送門市與訂單配送
(2) 能配合加班、假日輪班
(3) 無不良開車記錄
(4) 具小貨車經驗及駕照者
(5) 含加班費每月平均薪資大約為32,000元
(6) 科系要求：不拘

5.	《倉庫管理人員》
工作地點：桃園
工作內容：
(1) 原物料存放管理
(2) 進出貨作業
(3) 板料進出貨作業
(4) 庫存盤點
(5) 科系要求：不拘

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
10,"1.網通產品測試
2.電子訊號量測及驗證
3.暑期及全學年實習皆可"
