"index","工作內容"
1,"時薪 160元/小時，
效能如有達標，時薪$180，
(須按照公司規定，效能有達標者)


對以下工作有興趣，歡迎加入小麥購物團隊!
小麥購物與您一起成長!

【需具備的態度及能力】
1.團隊合作
2.快速出貨
3.細心、減少揀錯商品的機率
4.手腳俐落、勤勞、體能佳者


【工作內容】
1.出貨、理貨、分貨、撿貨
2.整理倉庫
2.精準完成主管交代事宜
3.具備良好的情緒管理、溝通能力


***注意:
此工作需要長時間久站和走路，
應徵前，需評估自己體力狀況。



【工作時間】
本職缺為長期兼職
PM13:30~PM21:30
PM17:30~PM21:30
AM08:00~PM17:00
(如貨量較多，需配合公司增加時數)

【福利】
◆薪資結構： 時薪x工時
◆員購商品優惠
◆尾牙聚餐
◆定期聚餐
◆7-11點數卡(表現優良、經主管考核)
◆保險福利：勞保、健保、勞退

職務類別：
時薪 160元/小時
工作性質：
兼職 - 長期工讀
上班地點：高雄市鳳山區鎮北里鎮北北巷21-18號
休假制度：依公司規定
可上班日：一個月內
具備駕照：輕型機車、普通重型機車
"
2,"於此專區投遞履歷即可應徵飛宏科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
其他電子零組件相關業

【公司簡介】
飛宏科技為全球電源供應器之領導廠商，歡迎您加入我們的行列！榮獲TTQS銅牌銀牌之企業~深耕電源產品近50年，為全球十大頂尖的電源供應器供應商之一；為快速服務全球客戶，在加州、紐約、荷蘭、中國和日本以及越南等皆設有服務據點；在中國亦有四個廠房以生產優質產品。公司係以各型電源供應器（power supply）之研發、生產及銷售為主要營業項目，為世界大廠Sony、Huawei、Cisco、Philips、HTC、Nec、Nokia、Epson⋯⋯等所採用電源供應器之主要供應商之一，以研發製造3C產業電源供應器享譽業界，同時公司持續積極創新，開發高效能、高附加價值之產品線與耕耘相關產品客戶。
提供多元化的電源產品能滿足客戶需求，除一般工業用產品皆通過ISO9001品質管理系統認證及產品安規認證外，針對醫療用電源產品也通過ISO13485醫療器材品質管理系統認證，能滿足醫療器材產品終端客戶的要求。同時車用電源及相關車載產品也通過品質業界最高標準IATF16949:2016 汽車業品質管理系統認證，為客戶提供優良的產品品質與完善的售後客戶服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【2021電源人才培育營】-電源助理工程師》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證/設計
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳

2.	《電源研發-實習生》
工作地點：桃園
工作內容：
(1)電源供應器測試驗證
(2)支援RD電氣測試
(3)開發前期代用料搜尋與測試
(4)產品工程文件建立及維護
(5)協助工程師工作及分擔工程部門相關事項
(6)科系要求：電機電子工程相關
(7)歡迎 學年/長期配合同學尤佳


3.	《機構研發技術工讀人員-台南 》
工作地點：台南
工作內容：
(1)機械2D工程圖繪圖
(2)協助建立零件料號
(3)BOM建立與管理。
(4)協助工程師處理專案相關作業
(5)歡迎 學年/長期配合同學尤佳

4.	《研發技術工讀人員-台南》
工作地點：台南
工作內容：
(1)充電樁組立
(2)線材加工
(3)協助建立零件料號
(4)配合彈性出貨之需求
(5)歡迎 學年/長期配合同學尤佳


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
3,"於此專區投遞履歷即可應徵瀚宇博德股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
電腦及其週邊設備製造業

【公司簡介】
瀚宇博德股份有限公司（以下簡稱本公司），原名太平洋科技工業股份有限公司，成立於1989年3月22日，本公司原係列支敦士登商安達太平洋科技公司轉投資之子公司，1998年被華新麗華收購後，自1998年12月21日起正式更名為瀚宇博德股份有限公司，另於2002年在大陸投資成立子公司瀚宇博德科技(江陰)有限公司。本公司股票於2001年2月正式上櫃交易，並於2003年8月25日轉上市交易。公司主要從事印刷電路板之生產及銷售，在全體同仁的共同努力下，2009年瀚宇博德寫下令人印象深刻之成績，每股稅後盈餘為3.05元，主力產品之筆記型電腦用板的市佔率更高達50%以上。本公司提供員工安全、乾淨的工作環境及良好的薪資福利制度，歡迎各年齡層菁英一同加入我們的行列。

【110年新創企業實務培訓職場圓夢計畫】職缺
1. 《製程工程》
工作地點：桃園
工作內容：
(1)製程能力分析與改善
(2)科系要求：不拘
(3)工作時間：08:00-20:30，月休6-8天

2. 《產線製程》
工作地點：桃園
工作內容：
(1)設備操作、維持機台正常運作
(2)科系要求：機械工程相關、化學相關、化學工程相關
(3)工作時間：08:00-20:30，月休6-8天

3. 《設計工程》
工作地點：桃園
工作內容：
(1)軟體製作料號、檔案製作與檢查
(2)科系要求：機械工程相關、化學相關、化學工程相關
(3)工作時間：08:00-20:30，月休6-8天


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知
2.本計畫將代為投保150小時培訓期間團體保險
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
4,"於此專區投遞履歷即可應徵台灣房屋仲介股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
不動產經營業

【公司簡介】
台灣房屋以「高品質服務房仲」在地深耕37年，除桃竹大本營的直營體系，更擴及全台發展特許加盟店，為了對消費者提供全方位完整的服務，近年來除了繼續專注本業外，亦積極轉型，朝多元化、國際化發展，台灣房屋以宏觀的角度整合旗下企業，完成以願景領導，組織完善的企業集團。 此外，台灣房屋更購置25公頃土地進行大規模植樹，成立「第一林業」、「友善健康農場」，友善土地、幫助弱勢、照顧同仁，積極用實際行動，實現「愛家‧愛地球」的企業價值。 在全球經濟快速的變動下，台灣房屋領先業界升級為「知識仲介」，首創「房仲服務5.0」專業經紀人員服務。 2016年更升級為「AI機器人智慧個人化服務」即時提供客戶最新市場資訊分析。2020年榮獲桃園市政府金牌企業卓越獎-好福企，並連續12年榮獲「科技服務創新大獎」、「科技創新獎」、「2020情感品牌第一名」房仲大獎。公司提供420小時訓練及4 ~ 6個月育成教育訓練，給予業界直營門市最佳保障薪資、直營門市最佳工作績效獎金，為保障資深業務同仁，薪資高達96,000。以獨家「贏」的訓練，提供各階段進階教育訓練等終身學習福利，幫您啟動贏的人生。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《台灣房屋直營門市-專業不動產經紀人員 》
工作地點：桃園
工作內容：
(1)國內不動產買賣專業服務
(2)全齡化不動產投資管理服務
(3)保障客戶相關售後服務(輻射、海砂預防檢測)由公司專案提供
(4)台灣房屋直營門市錄取，以及各階段升遷，均有考試制度提升專業品質
(5)保障薪資5萬+另加穩定績效獎金

2.	《台灣房屋趨勢中心-專員(內湖) 》
工作地點：台北市內湖區
工作內容：
(1)新聞稿撰寫
(2)人物專訪,撰稿
(3)區域分析報導
(4)新聞發佈
(5)媒體關係連繫
(6)集團公關事務
(7)科系要求：新聞傳播或不動產相關科系大學畢

3.	《科技事業部-資訊工程師(PHP) 》
工作地點：台北市內湖區
工作內容：
(1)台灣房屋官網及後台系統開發與維護
(2)Line chatbot功能應用開發
技術需求：
(1)熟悉LAMP (Linux + Apache + MySQL +PHP)開發環境，能運用JavaScript、AJAX、
JSON等技術
(2)熟悉Restful API
(3)熟悉網站安全性(XSS、CORS、SSRF)的各種問題與解決方法
加分項目：
(1)MySQL資料庫優化經驗
(2)熟悉Laravel framework
(3)具REDIS、Rabbit MQ、WebSocket開發經驗
(4)Azure App Service或GCP平台相關經驗

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
5,"於此專區投遞履歷即可應徵三井資訊股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
電子通訊／電腦週邊零售業

【公司簡介】
自民國76年起，三井從電腦桌批發買賣店開始做起，並於民國81年在中壢成立第一家佔地百坪的複合式型態電腦賣場，民國98年即與異業結盟創下國內3C通路複合式經營的先例。三十餘年來，三井透過不斷的轉型與創新，整合電腦、週邊、軟體、通訊、家電及圖書等眾多產品類別，提供消費者豐富、齊全的3C資訊商品，三井更積極的與原廠、通路商合作，例如：成立宏碁授權維修中心以深耕消費後電腦維修服務、進駐大潤發、家樂福以提供專業的創新服務銷售模式，以及加盟遠傳電信等異業合作方式，致力於帶給消費者整合多元的行銷體驗模式。目前擁有涵蓋複合式經營門市、電競遊戲館、筆電專賣店、通訊門市與維修中心共計64家直營門市的三井儼然已為台灣大型的資訊賣場通路之一。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《門市業務銷售專員【桃園區】》
工作地點：桃園
工作內容：
(1)商品銷售與陳列管理。
(2)客戶服務與管理。
(3)門市營運作業。
(4)營運幹部培訓。
(5)薪資加計固定加班費後自27,000起、業績獎金另計。
(6)月休9天。

2.	《通訊銷售新星【遠傳中壢環中門市】》
工作地點：桃園
工作內容：
(1)負責門號/手機/專案介紹及銷售。
(2)顧客之服務與管理。
(3)負責商品進貨入庫、銷售管理及庫存管理。
(4)負責商品陳列及促銷品換檔工作。
(5)門店櫃務作業。
(6)加計固定加班費後，薪資自26K至46K，業績獎金另計。


3.	《即將開幕~三井3C業務專員【大潤發土城店】》
工作地點：新北市土城區
工作內容：
(1)筆電銷售與陳列管理。
(2)客戶服務與管理。
(3)具備電腦組裝、維修經驗者尤佳。
(4)營運幹部培訓。
(5)月休8天。 (另排6~8天早班)
(6)加計固定加班費後，薪資平均30K起，業績獎金另計。

4.	《筆電業務專員【新竹NOVA二店】》
工作地點：新竹市東區
工作內容：
(1)商品銷售與陳列管理。
(2)客戶服務與管理。
(3)門市營運作業。
(4)營運幹部培訓。
(5)薪資加固定加班費後約27k起薪、業績獎金另計。
(6)月休9天。


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
6,"於此專區投遞履歷即可應徵台全電機股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
汽車及其零件製造業

【公司簡介】
台全電機集團為台灣前五百大企業，是台灣及全球知名車廠主要合作對象。
深耕台灣，擁有完整的生產線，且朝工業4.0自動化邁進。我們自有垂直整合的能力，從研發、生產(鋁合金壓鑄及沖壓廠)、加工(車床、銑床及鑽床)、組裝，為全球知名車廠提供馬達產品整合的服務。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《技術處-自動控制工程師 》
工作地點：桃園
工作內容：
(1) 規劃自製設備、開發與程式編寫
(2) 設備人機介面規劃與設計
(3) 自動/半自動設備PLC與人機介面設計經驗*PLC會其中一種即可
(4)科系要求：電機電子工程相關、機械工程相關

2.	《暑期工讀生》
工作地點：桃園
工作內容：
(1) 生產報表填寫
(2) 產品檢驗、測試
(3) 馬達組包裝作業人員
(4) 需配合加班
(5) 主管交辦事項
(6) 工作性質為定點久站
(7)日班時段:08:00~16:50(需配合加班兩小時為限)/夜班時段:19:20~0330(需配合加班四小時為限)
(8)科系要求：不拘

3.	《專案管理 PJM (Project Management)》
工作地點：桃園
工作內容：
(1) 對外作為與客戶溝通橋梁，尤其針對專案時程的控管及對應
(2) 對內協調各部門，確保專案時程進度
(3) 負責召開及主持對內部及客戶固定會議
(4) 控管產品開發專案相關之預算/費用
(5) 參與專案所需量產零件之供應商評估以及成本估算
(6)科系要求：不拘

4.	《研發處-產品/機械設計工程師》
工作地點：桃園
工作內容：
(1) 產品可行性評估
(2) 產品與零組件開發設計
(3) 材料選用及驗證測試
(4) 零件模具開發檢討
(5) 原型樣品試作與測試
(6) 跨部門溝通協調
(7) 協助產品導入量產
(8) 不良分析改善
(9) 累積公差計算
(10) 產品包裝設計規劃
(11)具馬達相關產業經驗者佳，英文專長
(12)科系要求：機械工程相關、電機電子工程相關

5.	《品保工程師》
工作地點：桃園
工作內容：
(1)品質異常處理與改善對策的執行追蹤
(2)FTQ馬達異常分析與產線上品質事項處理
(3)專案的規劃及輔導執行
(4)處理/對應客戶抱怨及跨部門協調
(5)具識圖能力
(6)有志朝品保專業發展但無相關經驗者可培訓

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
7,"於此專區投遞履歷即可應徵台耀化學股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
藥品製造業

【公司簡介】
台耀化學於1995年以委託研發實驗室的形式成立，並於2000年踏入原料藥生產的領域。挾其強大的研發實力及厚實的品質系統，逐漸在生技製藥業展露頭角。目前已有多項原料藥及防曬系列活性成份產品行銷全球，而防曬系列活性成分產品為全球前三大供應商。台耀擁有多項ISO認證，且已成功通過台灣衛生署，美國FDA，歐盟(德國BSG), 及日本PMDA的GMP查廠認證。因應拓展海外市場的需求，本公司除了投入大量的資金，購買及改善硬體設施，在人員訓練上，公司安排相關課程並配合實際操作教育員工，亦與國內外的顧問公司簽約，無論在GMP規範、智財權、或法律問題，皆可藉由諮詢顧問有效率地解決，使公司之研發、生產及業務推動免除後顧之憂。本公司在cGMP規範要求下，不斷的更新與落實，務使本公司的產品，符合國際現行優良製造規範標準，進而使更多的產品及代工業務深入至歐美地區。未來，本著立足台灣放眼天下的信念，希望能在國際的舞台上站有一席之地。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《生產製造-助理(副)工程師》
工作地點：桃園
工作內容：
(1)原料藥生產製程設備操作(投料、機台操作)
(2)生產GMP文件撰寫
(3)廠內設備狀況排除
(4)負責產線進度追蹤
(5)廠區設備清潔及環境管理
(6)薪資：5萬~6萬元(含加班費)
(7)12小時日夜輪班；休假：排休制
(8)科系限制：化學、材料、生物、化工相關科系

2.	《生產製程-技術員》
工作地點：桃園
工作內容：
(1)投料、粉碎、過篩、包裝（穿無塵衣，於清淨室內作業）
(2)廠區設備清潔及環境管理
(3)薪資：4萬~5萬元（含加班費）
(4)12小時日夜輪班；休假：排休制
(5)科系限制：不限科系，具生產/輪班經驗者佳

3.	《針劑製造-助理(副)工程師/技術員》
工作地點：桃園
工作內容：
(1)針劑無菌生產區各項生產作業執行與設備操作
( 2)GMP文件編輯與紀錄填寫
(3)參與人員教育訓練，包含線上訓練與GMP概念等
(4)各項驗證與確效作業執行
(5)製程室環境日常巡檢與維護
(6)視需求支援無菌產品異檢及包裝作業
(7)參與新產品、新設備引進評估
(8)生產相關專案執行
(9)主管交辦事項
(10)科系限制：不拘


4.	《生產文件-(助理)副工程師》
工作地點：桃園
工作內容：
(1)建立並維護生產單位之一般性文件、技術文件以及GMP相關文件
(2)製程移轉、試劑、製程放大以及製程改善相關文件與事務處理
(3)變更管制、異常與客訴之相關事務處理
(4)科系要求：化學相關、化學工程相關、藥學相關

5.	《品保-文件(助理)專員》
工作地點：桃園
工作內容：
(1)文件生效、分發、回收、歸檔及調閱
(2)教育訓練計劃管理、記錄建檔及追蹤
(3)需與業務往來部門溝通協調
(4)支援其他文管業務
(5)科系要求：化學相關、化學工程相關、藥學相關

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
8,"於此專區投遞履歷即可應徵亞太電信股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
電信相關業

【公司簡介】
亞太電信股份有限公司於2000年成立，自2014年起以「Gt智慧生活」為品牌發展核心，以行動、數位、寬頻做為業務發展重心，致力開創多元智慧應用，積極轉型為「新科技服務營運商」。
營運迄今一路走來，亞太電信全力落實創新資費、多元產品及貼心服務，除了提供高品質的4G行動語音與網路服務，並積極跨入5G通訊新世代，結合鴻海科技集團研發及豐厚製造實力與資源，持續強化技術研發、基礎網路架設、應用服務整合、客戶開發及營運4大核心競爭力，致力深耕智慧製造、能源、交通、醫療、零售、娛樂等六大領域，以全新科技視野展望未來，持續推動智慧生活，創造更多無限可能。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《直營門市銷售人員【北部-桃園全區】》
工作地點：桃園
工作內容：
(1)客戶服務管理：
-辦理直營門市來店客戶之各項業務，如電信產品申辦、繳費、異動等。
-介紹及引導消費者體驗手機、家電等產品與加值服務。
-提供客戶問題諮詢及解決客戶問題，以提昇客戶滿意與忠誠度。
(2)店務行政管理：如商品管理， 庫存管理等行政和帳務工作。
(3)不定期外拓活動，熱情迎向戶外創造新客源，如：傳單發放、鄰里街頭巷尾拜訪等。

2.	《【客服專業】電銷專員-桃園(近藝文特區) 》
工作地點：桃園
工作內容：
(1)新申辦專案執行
(2)促銷訊息告知，提升加值型服務用量
(3)接聽簡易客服電話

3.	《【客服專業】維繫專員-桃園(近藝文特區)》
工作地點：桃園
工作內容：
(1)續約專案執行及推廣加值服務。
(2)接聽簡易客服電話 (例如:帳單查詢等)。

4.	《【客服專業】-電話客服專員-桃園(中正藝文特區旁)★》
工作地點：桃園
工作內容：
(1)接聽客戶服務專線，協助客戶解決問題(含查詢、異常、障礙申告等)，提升客戶服務滿意度。
(2)促案推廣及諮詢服務。
(3)排班時間:07:00~22:00(每日排班9hr含休息1hr)。
(4)夜班津貼另計。


【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。
"
9,"於此專區投遞履歷即可應徵CARMAX_車美仕【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
汽機車及其零配件／用品零售業

【公司簡介】
車美仕CARMAX為和泰汽車成立之TOYOTA授權正廠汽車用品專業公司，負責影音、電子、外觀及內裝等車用產品之開發設計。國內主要客戶為和泰汽車及TOYOTA、LEXUS各經銷商，亦是國瑞汽車認證的唯一汽車用品供應商。車美仕自2001年成立至今，已發展為一國際化企業，除台灣外，市場擴及中國大陸、日本、東南亞、中東、美洲、非洲、俄羅斯等。

【110年新創企業實務培訓職場圓夢計畫】職缺
《車美仕公司學期實習生》
工作地點：桃園
工作內容：
(1)實地演練跟著主管及前輩進行專案
(2)完整公司認識及工作熟悉
(3)實際參與產品測試及開發
(4)簡報及專案報告實作
(5)實習單位-錄取後將依同學專長及面談結果進行分發

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知
2.本計畫將代為投保150小時培訓期間團體保險
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
10,"於此專區投遞履歷即可應徵艾克爾國際科技股份有限公司【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
半導體製造業

【公司簡介】
艾克爾國際科技(Amkor Technology)為全球第二大先進半導體封裝與測試服務提供商。於1968年創立於美國賓州，目前在美國、日本、韓國、菲律賓、上海、台灣都有生產據點，全球員工總數約38,000人，並在那斯達克股票公開上市(Nasdaq: AMKR)。艾克爾以策略製造夥伴的角色，提供全球超過兩百家居於領導地位的半導體公司與OEM廠，並強調技術的穩健與創新，致力於改善現有產品製程的效能與積極發展新封裝與測試服務。艾克爾於2001年合併上寶半導體與台宏半導體，成立艾克爾台灣分公司，2004年併購眾晶科技成立湖口廠，同年入主悠立半導體。台灣地區現有龍潭廠、湖口廠及艾克爾先進科技廠，主要產品包含晶圓凸塊、覆晶封裝、晶圓級封裝、測試製程與全球獨家的數位光源產品，廣泛應用於通訊、消費性電子、網路設備等領域。除了服務國內IC廠，美國、日本等世界各地的IC大廠也是本公司服務的重要對象，是符合市場潮流的科技產業。

【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《【實習】資訊MES工程師-湖口廠/龍潭廠》
工作地點：桃園
工作內容：
(1)MES相關系統開發與維護
(2)生產管理報表系統開發與維護
(3)需求技能：
3-1. VB6 & VB.NET
3-2. WinForm application development experience & knowledge.
3-3. Knowing how to use Database (Oracle/MS SQL).
3-4. Web application development experience & knowledge.
(4)科系限制：資訊管理相關、資訊工程相關、其他數學及電算機科學相關

2.	《產品-Bumping產品工程師-龍潭廠》
工作地點：桃園
工作內容：
(1) New product introduction, to arrange new product to be qualified.
(2) Low yield analysis, with preventive action proposal.
(3) Failure analysis handling, includes edx analysis, cross-section, FIB..etc.
(4) Mass production yield maintenance, trouble shooting.
(5) Customer visit/audit activities handling.
(6) Project management
(7)科系限制：化學相關、化學工程相關、材料工程相關

3.	《製程-製程工程師-湖口廠》
工作地點：新竹
工作內容：
(1)良率改善
(2)製程異常處理
(3)專案執行
(4)上班時間 7:30~19:30 / 19:30~7:30，二休二，每三個月進行日夜輪調行
(5)科系限制：不拘


4.	《管理-生產線帶線課長-湖口廠》
工作地點：新竹
工作內容：
(1)具基本英文溝通能力(會議以及菲籍外勞溝通)
(2)生產線排程
(3)人員管理, 訓練
(4)專案改善
(5)科系要求：企業管理相關、工業工程相關、其他工程相關

5.	《產品工程-產品測試工程師-龍科廠》
工作地點：桃園
工作內容：
(1)提升產品良率
(2)新產品導入
(3)產線與客戶間之技術窗口
(4)科系要求：電機電子工程相關、通信學類、資訊工程相關

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主
"
